fecha;anio;mes;dia;hora;barra;tension;valor
01/01/2019;2019;1;1;1;ATACAMA_______220;220;56,61
01/01/2019;2019;1;1;2;ATACAMA_______220;220;56,61
01/01/2019;2019;1;1;3;ATACAMA_______220;220;56,61
01/01/2019;2019;1;1;4;ATACAMA_______220;220;56,61
01/01/2019;2019;1;1;5;ATACAMA_______220;220;56,61
01/01/2019;2019;1;1;6;ATACAMA_______220;220;56,61
01/01/2019;2019;1;1;7;ATACAMA_______220;220;56,61
01/01/2019;2019;1;1;8;ATACAMA_______220;220;52,9
01/01/2019;2019;1;1;9;ATACAMA_______220;220;46,66
01/01/2019;2019;1;1;10;ATACAMA_______220;220;46,2
01/01/2019;2019;1;1;11;ATACAMA_______220;220;46,2
01/01/2019;2019;1;1;12;ATACAMA_______220;220;46,2
01/01/2019;2019;1;1;13;ATACAMA_______220;220;46,2
01/01/2019;2019;1;1;14;ATACAMA_______220;220;46,17
01/01/2019;2019;1;1;15;ATACAMA_______220;220;18,32
01/01/2019;2019;1;1;16;ATACAMA_______220;220;0,0
01/01/2019;2019;1;1;17;ATACAMA_______220;220;0,0
01/01/2019;2019;1;1;18;ATACAMA_______220;220;23,83
01/01/2019;2019;1;1;19;ATACAMA_______220;220;53,4
01/01/2019;2019;1;1;20;ATACAMA_______220;220;53,4
01/01/2019;2019;1;1;21;ATACAMA_______220;220;53,05
01/01/2019;2019;1;1;22;ATACAMA_______220;220;50,7
01/01/2019;2019;1;1;23;ATACAMA_______220;220;50,51
01/01/2019;2019;1;1;24;ATACAMA_______220;220;50,46
02/01/2019;2019;1;2;1;ATACAMA_______220;220;52,94
02/01/2019;2019;1;2;2;ATACAMA_______220;220;52,94
02/01/2019;2019;1;2;3;ATACAMA_______220;220;49,92
02/01/2019;2019;1;2;4;ATACAMA_______220;220;43,83
02/01/2019;2019;1;2;5;ATACAMA_______220;220;47,41
02/01/2019;2019;1;2;6;ATACAMA_______220;220;52,94
02/01/2019;2019;1;2;7;ATACAMA_______220;220;52,94
02/01/2019;2019;1;2;8;ATACAMA_______220;220;52,94
02/01/2019;2019;1;2;9;ATACAMA_______220;220;49,25
02/01/2019;2019;1;2;10;ATACAMA_______220;220;48,77
02/01/2019;2019;1;2;11;ATACAMA_______220;220;47,81
02/01/2019;2019;1;2;12;ATACAMA_______220;220;47,81
02/01/2019;2019;1;2;13;ATACAMA_______220;220;46,06
02/01/2019;2019;1;2;14;ATACAMA_______220;220;45,9
02/01/2019;2019;1;2;15;ATACAMA_______220;220;45,9
02/01/2019;2019;1;2;16;ATACAMA_______220;220;45,9
02/01/2019;2019;1;2;17;ATACAMA_______220;220;45,9
02/01/2019;2019;1;2;18;ATACAMA_______220;220;47,56
02/01/2019;2019;1;2;19;ATACAMA_______220;220;49,74
02/01/2019;2019;1;2;20;ATACAMA_______220;220;50,88
02/01/2019;2019;1;2;21;ATACAMA_______220;220;51,39
02/01/2019;2019;1;2;22;ATACAMA_______220;220;51,53
02/01/2019;2019;1;2;23;ATACAMA_______220;220;51,53
02/01/2019;2019;1;2;24;ATACAMA_______220;220;51,53
03/01/2019;2019;1;3;1;ATACAMA_______220;220;50,91
03/01/2019;2019;1;3;2;ATACAMA_______220;220;50,91
03/01/2019;2019;1;3;3;ATACAMA_______220;220;50,91
03/01/2019;2019;1;3;4;ATACAMA_______220;220;50,91
03/01/2019;2019;1;3;5;ATACAMA_______220;220;50,91
03/01/2019;2019;1;3;6;ATACAMA_______220;220;50,91
03/01/2019;2019;1;3;7;ATACAMA_______220;220;50,91
03/01/2019;2019;1;3;8;ATACAMA_______220;220;50,91
03/01/2019;2019;1;3;9;ATACAMA_______220;220;48,48
03/01/2019;2019;1;3;10;ATACAMA_______220;220;48,32
03/01/2019;2019;1;3;11;ATACAMA_______220;220;48,32
03/01/2019;2019;1;3;12;ATACAMA_______220;220;47,68
03/01/2019;2019;1;3;13;ATACAMA_______220;220;46,18
03/01/2019;2019;1;3;14;ATACAMA_______220;220;46,59
03/01/2019;2019;1;3;15;ATACAMA_______220;220;47,44
03/01/2019;2019;1;3;16;ATACAMA_______220;220;46,18
03/01/2019;2019;1;3;17;ATACAMA_______220;220;46,18
03/01/2019;2019;1;3;18;ATACAMA_______220;220;46,83
03/01/2019;2019;1;3;19;ATACAMA_______220;220;50,19
03/01/2019;2019;1;3;20;ATACAMA_______220;220;50,52
03/01/2019;2019;1;3;21;ATACAMA_______220;220;55,88
03/01/2019;2019;1;3;22;ATACAMA_______220;220;56,76
03/01/2019;2019;1;3;23;ATACAMA_______220;220;56,76
03/01/2019;2019;1;3;24;ATACAMA_______220;220;56,76
04/01/2019;2019;1;4;1;ATACAMA_______220;220;55,34
04/01/2019;2019;1;4;2;ATACAMA_______220;220;55,34
04/01/2019;2019;1;4;3;ATACAMA_______220;220;55,34
04/01/2019;2019;1;4;4;ATACAMA_______220;220;55,34
04/01/2019;2019;1;4;5;ATACAMA_______220;220;55,34
04/01/2019;2019;1;4;6;ATACAMA_______220;220;55,34
04/01/2019;2019;1;4;7;ATACAMA_______220;220;55,34
04/01/2019;2019;1;4;8;ATACAMA_______220;220;55,34
04/01/2019;2019;1;4;9;ATACAMA_______220;220;48,47
04/01/2019;2019;1;4;10;ATACAMA_______220;220;48,47
04/01/2019;2019;1;4;11;ATACAMA_______220;220;48,86
04/01/2019;2019;1;4;12;ATACAMA_______220;220;48,96
04/01/2019;2019;1;4;13;ATACAMA_______220;220;48,02
04/01/2019;2019;1;4;14;ATACAMA_______220;220;48,06
04/01/2019;2019;1;4;15;ATACAMA_______220;220;47,73
04/01/2019;2019;1;4;16;ATACAMA_______220;220;46,28
04/01/2019;2019;1;4;17;ATACAMA_______220;220;48,86
04/01/2019;2019;1;4;18;ATACAMA_______220;220;49,15
04/01/2019;2019;1;4;19;ATACAMA_______220;220;50,6
04/01/2019;2019;1;4;20;ATACAMA_______220;220;52,27
04/01/2019;2019;1;4;21;ATACAMA_______220;220;77,36
04/01/2019;2019;1;4;22;ATACAMA_______220;220;143,96
04/01/2019;2019;1;4;23;ATACAMA_______220;220;152,29
04/01/2019;2019;1;4;24;ATACAMA_______220;220;84,04
05/01/2019;2019;1;5;1;ATACAMA_______220;220;56,88
05/01/2019;2019;1;5;2;ATACAMA_______220;220;56,88
05/01/2019;2019;1;5;3;ATACAMA_______220;220;55,4
05/01/2019;2019;1;5;4;ATACAMA_______220;220;54,95
05/01/2019;2019;1;5;5;ATACAMA_______220;220;54,95
05/01/2019;2019;1;5;6;ATACAMA_______220;220;54,95
05/01/2019;2019;1;5;7;ATACAMA_______220;220;54,95
05/01/2019;2019;1;5;8;ATACAMA_______220;220;54,95
05/01/2019;2019;1;5;9;ATACAMA_______220;220;48,68
05/01/2019;2019;1;5;10;ATACAMA_______220;220;49,01
05/01/2019;2019;1;5;11;ATACAMA_______220;220;49,04
05/01/2019;2019;1;5;12;ATACAMA_______220;220;48,09
05/01/2019;2019;1;5;13;ATACAMA_______220;220;46,49
